k, accuracy, precision, recall, f_score, tpr, fpr, fnr, tnr
5,0.602417775377,0.742678828613,0.313432835821,0.440824468085,0.313432835821,0.108597285068,0.686567164179,0.891402714932
6,0.580266090363,0.779449800141,0.223880597015,0.347848898216,0.223880597015,0.0633484162896,0.776119402985,0.93665158371
7,0.611467549132,0.775957197793,0.313432835821,0.446507600539,0.313432835821,0.0904977375566,0.686567164179,0.909502262443
8,0.625042209766,0.831869510665,0.313432835821,0.455312469342,0.313432835821,0.0633484162896,0.686567164179,0.93665158371
9,0.636118052273,0.806446708226,0.358208955224,0.496071829405,0.358208955224,0.0859728506787,0.641791044776,0.914027149321
10,0.58479097724,0.804806991988,0.223880597015,0.350311740463,0.223880597015,0.0542986425339,0.776119402985,0.945701357466
11,0.592929020058,0.788954220916,0.253731343284,0.383974653789,0.253731343284,0.0678733031674,0.746268656716,0.932126696833
12,0.572803403796,0.767361111111,0.208955223881,0.32846754074,0.208955223881,0.0633484162896,0.791044776119,0.93665158371
13,0.590666576619,0.778007869124,0.253731343284,0.382664493787,0.253731343284,0.0723981900452,0.746268656716,0.927601809955
14,0.577328290673,0.793740379682,0.208955223881,0.330820636194,0.208955223881,0.0542986425339,0.791044776119,0.945701357466
15,0.598129263186,0.787722772277,0.268656716418,0.400664752984,0.268656716418,0.0723981900452,0.731343283582,0.927601809955
16,0.572803403796,0.767361111111,0.208955223881,0.32846754074,0.208955223881,0.0633484162896,0.791044776119,0.93665158371
17,0.590666576619,0.778007869124,0.253731343284,0.382664493787,0.253731343284,0.0723981900452,0.746268656716,0.927601809955
18,0.58479097724,0.804806991988,0.223880597015,0.350311740463,0.223880597015,0.0542986425339,0.776119402985,0.945701357466
19,0.58772877693,0.790344210997,0.238805970149,0.366785955085,0.238805970149,0.0633484162896,0.761194029851,0.93665158371
20,0.587053420679,0.818114511352,0.223880597015,0.351556286123,0.223880597015,0.0497737556561,0.776119402985,0.950226244344
21,0.580266090363,0.779449800141,0.223880597015,0.347848898216,0.223880597015,0.0633484162896,0.776119402985,0.93665158371
22,0.581853177551,0.821997874601,0.208955223881,0.333207689408,0.208955223881,0.0452488687783,0.791044776119,0.954751131222
23,0.575741203485,0.755641668566,0.223880597015,0.345420443889,0.223880597015,0.0723981900452,0.776119402985,0.927601809955
24,0.572128047545,0.795844875346,0.194029850746,0.311994353043,0.194029850746,0.0497737556561,0.805970149254,0.950226244344
