k, accuracy, precision, recall, f_score, tpr, fpr, fnr, tnr
5,0.618018504761,0.745676929566,0.358208955224,0.483941605839,0.358208955224,0.122171945701,0.641791044776,0.877828054299
6,0.58840413318,0.767361111111,0.253731343284,0.381363244176,0.253731343284,0.0769230769231,0.746268656716,0.923076923077
7,0.603093131627,0.728826262929,0.328358208955,0.452742341,0.328358208955,0.122171945701,0.671641791045,0.877828054299
8,0.59134193287,0.757569986669,0.268656716418,0.396649715824,0.268656716418,0.0859728506787,0.731343283582,0.914027149321
9,0.584554602553,0.729640498899,0.268656716418,0.392714349178,0.268656716418,0.0995475113122,0.731343283582,0.900452488688
10,0.575741203485,0.755641668566,0.223880597015,0.345420443889,0.223880597015,0.0723981900452,0.776119402985,0.927601809955
11,0.598804619437,0.767361111111,0.283582089552,0.414122984368,0.283582089552,0.0859728506787,0.716417910448,0.914027149321
12,0.575065847234,0.780327868852,0.208955223881,0.329639889197,0.208955223881,0.0588235294118,0.791044776119,0.941176470588
13,0.600391706625,0.798314268513,0.268656716418,0.40202122284,0.268656716418,0.0678733031674,0.731343283582,0.932126696833
14,0.567603160667,0.767361111111,0.194029850746,0.309740714786,0.194029850746,0.0588235294118,0.805970149254,0.941176470588
15,0.583203890052,0.767361111111,0.238805970149,0.364254442441,0.238805970149,0.0723981900452,0.761194029851,0.927601809955
16,0.572803403796,0.767361111111,0.208955223881,0.32846754074,0.208955223881,0.0633484162896,0.791044776119,0.93665158371
17,0.590666576619,0.778007869124,0.253731343284,0.382664493787,0.253731343284,0.0723981900452,0.746268656716,0.927601809955
18,0.581853177551,0.821997874601,0.208955223881,0.333207689408,0.208955223881,0.0452488687783,0.791044776119,0.954751131222
19,0.594516107247,0.827521647554,0.238805970149,0.370649895178,0.238805970149,0.0497737556561,0.761194029851,0.950226244344
20,0.557202674411,0.767361111111,0.164179104478,0.270486787204,0.164179104478,0.0497737556561,0.835820895522,0.950226244344
21,0.572128047545,0.795844875346,0.194029850746,0.311994353043,0.194029850746,0.0497737556561,0.805970149254,0.950226244344
22,0.552002431283,0.767361111111,0.149253731343,0.249901057274,0.149253731343,0.0452488687783,0.850746268657,0.954751131222
23,0.581853177551,0.821997874601,0.208955223881,0.333207689408,0.208955223881,0.0452488687783,0.791044776119,0.954751131222
24,0.561727561289,0.801252471984,0.164179104478,0.272518356594,0.164179104478,0.0407239819005,0.835820895522,0.9592760181
