k, accuracy, precision, recall, f_score, tpr, fpr, fnr, tnr
5,0.65,0.77,0.42,0.54,0.42,0.13,0.58,0.87
6,0.59,0.76,0.25,0.38,0.25,0.08,0.75,0.92
7,0.61,0.77,0.33,0.46,0.33,0.1,0.67,0.9
8,0.63,0.83,0.31,0.46,0.31,0.06,0.69,0.94
9,0.63,0.78,0.36,0.49,0.36,0.1,0.64,0.9
10,0.58,0.74,0.24,0.36,0.24,0.09,0.76,0.91
11,0.6,0.73,0.31,0.44,0.31,0.11,0.69,0.89
12,0.57,0.74,0.21,0.33,0.21,0.07,0.79,0.93
13,0.58,0.73,0.25,0.38,0.25,0.1,0.75,0.9
14,0.57,0.72,0.22,0.34,0.22,0.09,0.78,0.91
15,0.59,0.75,0.27,0.4,0.27,0.09,0.73,0.91
16,0.57,0.75,0.21,0.33,0.21,0.07,0.79,0.93
17,0.58,0.77,0.24,0.36,0.24,0.07,0.76,0.93
18,0.58,0.8,0.22,0.35,0.22,0.05,0.78,0.95
19,0.6,0.81,0.27,0.4,0.27,0.06,0.73,0.94
20,0.57,0.81,0.18,0.29,0.18,0.04,0.82,0.96
21,0.56,0.75,0.18,0.29,0.18,0.06,0.82,0.94
22,0.56,0.78,0.16,0.27,0.16,0.05,0.84,0.95
23,0.56,0.75,0.18,0.29,0.18,0.06,0.82,0.94
24,0.56,0.78,0.16,0.27,0.16,0.05,0.84,0.95
