k, accuracy, precision, recall, f_score, tpr, fpr, fnr, tnr
5,0.656919024786,0.80062103765,0.417910447761,0.549165779198,0.417910447761,0.10407239819,0.582089552239,0.89592760181
6,0.61237928007,0.828205128205,0.283582089552,0.422498364944,0.283582089552,0.0588235294118,0.716417910448,0.941176470588
7,0.631593165395,0.790344210997,0.358208955224,0.492982619203,0.358208955224,0.0950226244344,0.641791044776,0.904977375566
8,0.610116836631,0.817403153592,0.283582089552,0.42107902126,0.283582089552,0.0633484162896,0.716417910448,0.93665158371
9,0.606267306004,0.776392060425,0.298507462687,0.431219512195,0.298507462687,0.0859728506787,0.701492537313,0.914027149321
10,0.589991220369,0.802359882006,0.238805970149,0.368064952639,0.238805970149,0.0588235294118,0.761194029851,0.941176470588
11,0.595866819747,0.777408637874,0.268656716418,0.399317406143,0.268656716418,0.0769230769231,0.731343283582,0.923076923077
12,0.582528533802,0.791925465839,0.223880597015,0.349075975359,0.223880597015,0.0588235294118,0.776119402985,0.941176470588
13,0.590666576619,0.778007869124,0.253731343284,0.382664493787,0.253731343284,0.0723981900452,0.746268656716,0.927601809955
14,0.549739987844,0.749915167967,0.149253731343,0.2489579813,0.149253731343,0.0497737556561,0.850746268657,0.950226244344
15,0.568278516918,0.742678828613,0.208955223881,0.32614768355,0.208955223881,0.0723981900452,0.791044776119,0.927601809955
16,0.554940230972,0.751468315301,0.164179104478,0.269482319033,0.164179104478,0.0542986425339,0.835820895522,0.945701357466
17,0.560815830351,0.728263624842,0.194029850746,0.306420648464,0.194029850746,0.0723981900452,0.805970149254,0.927601809955
18,0.55946511785,0.783940664302,0.164179104478,0.271498771499,0.164179104478,0.0452488687783,0.835820895522,0.954751131222
19,0.577328290673,0.793740379682,0.208955223881,0.330820636194,0.208955223881,0.0542986425339,0.791044776119,0.945701357466
20,0.563990004727,0.819346140883,0.164179104478,0.273545628446,0.164179104478,0.0361990950226,0.835820895522,0.963800904977
21,0.589315864118,0.831869510665,0.223880597015,0.352809706258,0.223880597015,0.0452488687783,0.776119402985,0.954751131222
22,0.563990004727,0.819346140883,0.164179104478,0.273545628446,0.164179104478,0.0361990950226,0.835820895522,0.963800904977
23,0.579590734112,0.807622030801,0.208955223881,0.332009872304,0.208955223881,0.0497737556561,0.791044776119,0.950226244344
24,0.558789761599,0.824934677118,0.149253731343,0.252773647489,0.149253731343,0.0316742081448,0.850746268657,0.968325791855
