k, accuracy, precision, recall, f_score, tpr, fpr, fnr, tnr
5,0.632268521645,0.774568905089,0.373134328358,0.503646308113,0.373134328358,0.108597285068,0.626865671642,0.891402714932
6,0.598129263186,0.787722772277,0.268656716418,0.400664752984,0.268656716418,0.0723981900452,0.731343283582,0.927601809955
7,0.61666779226,0.775562290636,0.328358208955,0.461377870564,0.328358208955,0.0950226244344,0.671641791045,0.904977375566
8,0.622104410076,0.846094946401,0.298507462687,0.441315960262,0.298507462687,0.0542986425339,0.701492537313,0.945701357466
9,0.631593165395,0.790344210997,0.358208955224,0.492982619203,0.358208955224,0.0950226244344,0.641791044776,0.904977375566
10,0.566016073479,0.730923694779,0.208955223881,0.325,0.208955223881,0.0769230769231,0.791044776119,0.923076923077
11,0.586817045992,0.738718662953,0.268656716418,0.394017432647,0.268656716418,0.0950226244344,0.731343283582,0.904977375566
12,0.563078273789,0.740845796802,0.194029850746,0.307519400589,0.194029850746,0.0678733031674,0.805970149254,0.932126696833
13,0.589079489431,0.748025573524,0.268656716418,0.395329192547,0.268656716418,0.0904977375566,0.731343283582,0.909502262443
14,0.573478760046,0.74427480916,0.223880597015,0.344218887908,0.223880597015,0.0769230769231,0.776119402985,0.923076923077
15,0.610792192882,0.795107033639,0.298507462687,0.434056761269,0.298507462687,0.0769230769231,0.701492537313,0.923076923077
16,0.572803403796,0.767361111111,0.208955223881,0.32846754074,0.208955223881,0.0633484162896,0.791044776119,0.93665158371
17,0.585466333491,0.778683109447,0.238805970149,0.365515815588,0.238805970149,0.0678733031674,0.761194029851,0.932126696833
18,0.579590734112,0.807622030801,0.208955223881,0.332009872304,0.208955223881,0.0497737556561,0.791044776119,0.950226244344
19,0.580266090363,0.779449800141,0.223880597015,0.347848898216,0.223880597015,0.0633484162896,0.776119402985,0.93665158371
20,0.561727561289,0.801252471984,0.164179104478,0.272518356594,0.164179104478,0.0407239819005,0.835820895522,0.9592760181
21,0.562402917539,0.767361111111,0.179104477612,0.290423260143,0.179104477612,0.0542986425339,0.820895522388,0.945701357466
22,0.566927804417,0.798314268513,0.179104477612,0.292569915605,0.179104477612,0.0452488687783,0.820895522388,0.954751131222
23,0.5601404741,0.752767527675,0.179104477612,0.289361702128,0.179104477612,0.0588235294118,0.820895522388,0.941176470588
24,0.566927804417,0.798314268513,0.179104477612,0.292569915605,0.179104477612,0.0452488687783,0.820895522388,0.954751131222
