k, accuracy, precision, recall, f_score, tpr, fpr, fnr, tnr
5,0.649456338218,0.794752264251,0.402985074627,0.5347972216,0.402985074627,0.10407239819,0.597014925373,0.89592760181
6,0.602654150064,0.809194467046,0.268656716418,0.403386908685,0.268656716418,0.0633484162896,0.731343283582,0.93665158371
7,0.64425609509,0.795844875346,0.388059701493,0.521723339538,0.388059701493,0.0995475113122,0.611940298507,0.900452488688
8,0.598129263186,0.787722772277,0.268656716418,0.400664752984,0.268656716418,0.0723981900452,0.731343283582,0.927601809955
9,0.633855608834,0.798314268513,0.358208955224,0.494522399888,0.358208955224,0.0904977375566,0.641791044776,0.909502262443
10,0.592253663808,0.814746543779,0.238805970149,0.369352901238,0.238805970149,0.0542986425339,0.761194029851,0.945701357466
11,0.613729992571,0.784748055462,0.313432835821,0.447951353699,0.313432835821,0.0859728506787,0.686567164179,0.914027149321
12,0.578003646924,0.767361111111,0.223880597015,0.346630417734,0.223880597015,0.0678733031674,0.776119402985,0.932126696833
13,0.603329506315,0.786624203822,0.283582089552,0.416877637131,0.283582089552,0.0769230769231,0.716417910448,0.923076923077
14,0.570540960357,0.754818248353,0.208955223881,0.327303501534,0.208955223881,0.0678733031674,0.791044776119,0.932126696833
15,0.58840413318,0.767361111111,0.253731343284,0.381363244176,0.253731343284,0.0769230769231,0.746268656716,0.923076923077
16,0.575065847234,0.780327868852,0.208955223881,0.329639889197,0.208955223881,0.0588235294118,0.791044776119,0.941176470588
17,0.568278516918,0.742678828613,0.208955223881,0.32614768355,0.208955223881,0.0723981900452,0.791044776119,0.927601809955
18,0.576652934423,0.826524741082,0.194029850746,0.31428102609,0.194029850746,0.0407239819005,0.805970149254,0.9592760181
19,0.568278516918,0.742678828613,0.208955223881,0.32614768355,0.208955223881,0.0723981900452,0.791044776119,0.927601809955
20,0.564665360978,0.782531720271,0.179104477612,0.291492635744,0.179104477612,0.0497737556561,0.820895522388,0.950226244344
21,0.565340717228,0.75387037523,0.194029850746,0.308626060801,0.194029850746,0.0633484162896,0.805970149254,0.93665158371
22,0.564665360978,0.782531720271,0.179104477612,0.291492635744,0.179104477612,0.0497737556561,0.820895522388,0.950226244344
23,0.582528533802,0.791925465839,0.223880597015,0.349075975359,0.223880597015,0.0588235294118,0.776119402985,0.941176470588
24,0.549739987844,0.749915167967,0.149253731343,0.2489579813,0.149253731343,0.0497737556561,0.850746268657,0.950226244344
