k, accuracy, precision, recall, f_score, tpr, fpr, fnr, tnr
5,0.634530965084,0.781913388055,0.373134328358,0.505189045856,0.373134328358,0.10407239819,0.626865671642,0.89592760181
6,0.595191463497,0.800212992545,0.253731343284,0.385293816019,0.253731343284,0.0633484162896,0.746268656716,0.93665158371
7,0.61960559195,0.767361111111,0.34328358209,0.474359572582,0.34328358209,0.10407239819,0.65671641791,0.89592760181
8,0.600391706625,0.798314268513,0.268656716418,0.40202122284,0.268656716418,0.0678733031674,0.731343283582,0.932126696833
9,0.611467549132,0.775957197793,0.313432835821,0.446507600539,0.313432835821,0.0904977375566,0.686567164179,0.909502262443
10,0.570540960357,0.754818248353,0.208955223881,0.327303501534,0.208955223881,0.0678733031674,0.791044776119,0.932126696833
11,0.586141689741,0.757001813419,0.253731343284,0.380070814365,0.253731343284,0.0814479638009,0.746268656716,0.918552036199
12,0.582528533802,0.791925465839,0.223880597015,0.349075975359,0.223880597015,0.0588235294118,0.776119402985,0.941176470588
13,0.575741203485,0.755641668566,0.223880597015,0.345420443889,0.223880597015,0.0723981900452,0.776119402985,0.927601809955
14,0.567603160667,0.767361111111,0.194029850746,0.309740714786,0.194029850746,0.0588235294118,0.805970149254,0.941176470588
15,0.595866819747,0.777408637874,0.268656716418,0.399317406143,0.268656716418,0.0769230769231,0.731343283582,0.923076923077
16,0.570540960357,0.754818248353,0.208955223881,0.327303501534,0.208955223881,0.0678733031674,0.791044776119,0.932126696833
17,0.598129263186,0.787722772277,0.268656716418,0.400664752984,0.268656716418,0.0723981900452,0.731343283582,0.927601809955
18,0.577328290673,0.793740379682,0.208955223881,0.330820636194,0.208955223881,0.0542986425339,0.791044776119,0.945701357466
19,0.575065847234,0.780327868852,0.208955223881,0.329639889197,0.208955223881,0.0588235294118,0.791044776119,0.941176470588
20,0.569190247856,0.814746543779,0.179104477612,0.293655187687,0.179104477612,0.0407239819005,0.820895522388,0.9592760181
21,0.572128047545,0.795844875346,0.194029850746,0.311994353043,0.194029850746,0.0497737556561,0.805970149254,0.950226244344
22,0.564665360978,0.782531720271,0.179104477612,0.291492635744,0.179104477612,0.0497737556561,0.820895522388,0.950226244344
23,0.565340717228,0.75387037523,0.194029850746,0.308626060801,0.194029850746,0.0633484162896,0.805970149254,0.93665158371
24,0.569190247856,0.814746543779,0.179104477612,0.293655187687,0.179104477612,0.0407239819005,0.820895522388,0.9592760181
