k, accuracy, precision, recall, f_score, tpr, fpr, fnr, tnr
5,0.609880461944,0.751468315301,0.328358208955,0.457019316633,0.328358208955,0.108597285068,0.671641791045,0.891402714932
6,0.602654150064,0.809194467046,0.268656716418,0.403386908685,0.268656716418,0.0633484162896,0.731343283582,0.93665158371
7,0.609205105693,0.767361111111,0.313432835821,0.445073123951,0.313432835821,0.0950226244344,0.686567164179,0.904977375566
8,0.598129263186,0.787722772277,0.268656716418,0.400664752984,0.268656716418,0.0723981900452,0.731343283582,0.927601809955
9,0.589079489431,0.748025573524,0.268656716418,0.395329192547,0.268656716418,0.0904977375566,0.731343283582,0.909502262443
10,0.580266090363,0.779449800141,0.223880597015,0.347848898216,0.223880597015,0.0633484162896,0.776119402985,0.93665158371
11,0.58840413318,0.767361111111,0.253731343284,0.381363244176,0.253731343284,0.0769230769231,0.746268656716,0.923076923077
12,0.577328290673,0.793740379682,0.208955223881,0.330820636194,0.208955223881,0.0542986425339,0.791044776119,0.945701357466
13,0.600391706625,0.798314268513,0.268656716418,0.40202122284,0.268656716418,0.0678733031674,0.731343283582,0.932126696833
14,0.5601404741,0.752767527675,0.179104477612,0.289361702128,0.179104477612,0.0588235294118,0.820895522388,0.941176470588
15,0.58772877693,0.790344210997,0.238805970149,0.366785955085,0.238805970149,0.0633484162896,0.761194029851,0.93665158371
16,0.579590734112,0.807622030801,0.208955223881,0.332009872304,0.208955223881,0.0497737556561,0.791044776119,0.950226244344
17,0.590666576619,0.778007869124,0.253731343284,0.382664493787,0.253731343284,0.0723981900452,0.746268656716,0.927601809955
18,0.58411562099,0.836894779551,0.208955223881,0.334414180718,0.208955223881,0.0407239819005,0.791044776119,0.9592760181
19,0.587053420679,0.818114511352,0.223880597015,0.351556286123,0.223880597015,0.0497737556561,0.776119402985,0.950226244344
20,0.552002431283,0.767361111111,0.149253731343,0.249901057274,0.149253731343,0.0452488687783,0.850746268657,0.954751131222
21,0.581853177551,0.821997874601,0.208955223881,0.333207689408,0.208955223881,0.0452488687783,0.791044776119,0.954751131222
22,0.549064631593,0.787722772277,0.134328358209,0.229517655204,0.134328358209,0.0361990950226,0.865671641791,0.963800904977
23,0.601303437563,0.86836935167,0.238805970149,0.374596112082,0.238805970149,0.0361990950226,0.761194029851,0.963800904977
24,0.571452691295,0.831869510665,0.179104477612,0.294748541261,0.179104477612,0.0361990950226,0.820895522388,0.963800904977
