k, accuracy, precision, recall, f_score, tpr, fpr, fnr, tnr
5,0.612142905383,0.75933156333,0.328358208955,0.458462989156,0.328358208955,0.10407239819,0.671641791045,0.89592760181
6,0.598129263186,0.787722772277,0.268656716418,0.400664752984,0.268656716418,0.0723981900452,0.731343283582,0.927601809955
7,0.621868035389,0.775202074119,0.34328358209,0.475847219622,0.34328358209,0.0995475113122,0.65671641791,0.900452488688
8,0.597453906936,0.811797752809,0.253731343284,0.386622073579,0.253731343284,0.0588235294118,0.746268656716,0.941176470588
9,0.618254879449,0.802941176471,0.313432835821,0.450867052023,0.313432835821,0.0769230769231,0.686567164179,0.923076923077
10,0.580266090363,0.779449800141,0.223880597015,0.347848898216,0.223880597015,0.0633484162896,0.776119402985,0.93665158371
11,0.593604376309,0.767361111111,0.268656716418,0.397979090591,0.268656716418,0.0814479638009,0.731343283582,0.918552036199
12,0.580266090363,0.779449800141,0.223880597015,0.347848898216,0.223880597015,0.0633484162896,0.776119402985,0.93665158371
13,0.598129263186,0.787722772277,0.268656716418,0.400664752984,0.268656716418,0.0723981900452,0.731343283582,0.927601809955
14,0.572803403796,0.767361111111,0.208955223881,0.32846754074,0.208955223881,0.0633484162896,0.791044776119,0.93665158371
15,0.592929020058,0.788954220916,0.253731343284,0.383974653789,0.253731343284,0.0678733031674,0.746268656716,0.932126696833
16,0.58479097724,0.804806991988,0.223880597015,0.350311740463,0.223880597015,0.0542986425339,0.776119402985,0.945701357466
17,0.590666576619,0.778007869124,0.253731343284,0.382664493787,0.253731343284,0.0723981900452,0.746268656716,0.927601809955
18,0.577328290673,0.793740379682,0.208955223881,0.330820636194,0.208955223881,0.0542986425339,0.791044776119,0.945701357466
19,0.599716350375,0.823722867792,0.253731343284,0.387959520859,0.253731343284,0.0542986425339,0.746268656716,0.945701357466
20,0.564665360978,0.782531720271,0.179104477612,0.291492635744,0.179104477612,0.0497737556561,0.820895522388,0.950226244344
21,0.577328290673,0.793740379682,0.208955223881,0.330820636194,0.208955223881,0.0542986425339,0.791044776119,0.945701357466
22,0.55652731816,0.804806991988,0.149253731343,0.251808807611,0.149253731343,0.0361990950226,0.850746268657,0.963800904977
23,0.593840750996,0.86081537263,0.223880597015,0.355343552364,0.223880597015,0.0361990950226,0.776119402985,0.963800904977
24,0.563990004727,0.819346140883,0.164179104478,0.273545628446,0.164179104478,0.0361990950226,0.835820895522,0.963800904977
