k, accuracy, precision, recall, f_score, tpr, fpr, fnr, tnr
5,0.64,0.78,0.39,0.52,0.39,0.11,0.61,0.89
6,0.61,0.78,0.31,0.45,0.31,0.09,0.69,0.91
7,0.63,0.79,0.34,0.48,0.34,0.09,0.66,0.91
8,0.59,0.77,0.27,0.4,0.27,0.08,0.73,0.92
9,0.59,0.75,0.28,0.41,0.28,0.1,0.72,0.9
10,0.6,0.77,0.28,0.41,0.28,0.09,0.72,0.91
11,0.59,0.75,0.28,0.41,0.28,0.1,0.72,0.9
12,0.6,0.77,0.28,0.41,0.28,0.09,0.72,0.91
13,0.61,0.76,0.31,0.44,0.31,0.1,0.69,0.9
14,0.6,0.79,0.28,0.42,0.28,0.08,0.72,0.92
15,0.61,0.78,0.31,0.45,0.31,0.09,0.69,0.91
16,0.6,0.8,0.27,0.4,0.27,0.07,0.73,0.93
17,0.6,0.78,0.27,0.4,0.27,0.08,0.73,0.92
18,0.6,0.8,0.25,0.39,0.25,0.06,0.75,0.94
19,0.6,0.79,0.27,0.4,0.27,0.07,0.73,0.93
20,0.59,0.85,0.21,0.34,0.21,0.04,0.79,0.96
21,0.61,0.84,0.27,0.41,0.27,0.05,0.73,0.95
22,0.59,0.86,0.22,0.36,0.22,0.04,0.78,0.96
23,0.6,0.87,0.24,0.37,0.24,0.04,0.76,0.96
24,0.57,0.85,0.18,0.3,0.18,0.03,0.82,0.97
