k, accuracy, precision, recall, f_score, tpr, fpr, fnr, tnr
5,0.62,0.74,0.37,0.5,0.37,0.13,0.63,0.87
6,0.64,0.77,0.4,0.53,0.4,0.12,0.6,0.88
7,0.64,0.79,0.37,0.51,0.37,0.1,0.63,0.9
8,0.64,0.79,0.37,0.51,0.37,0.1,0.63,0.9
9,0.61,0.77,0.33,0.46,0.33,0.1,0.67,0.9
10,0.61,0.75,0.33,0.46,0.33,0.11,0.67,0.89
11,0.62,0.78,0.34,0.48,0.34,0.1,0.66,0.9
12,0.61,0.75,0.33,0.46,0.33,0.11,0.67,0.89
13,0.61,0.76,0.33,0.46,0.33,0.1,0.67,0.9
14,0.62,0.76,0.34,0.47,0.34,0.11,0.66,0.89
15,0.62,0.77,0.34,0.47,0.34,0.1,0.66,0.9
16,0.62,0.78,0.34,0.48,0.34,0.1,0.66,0.9
17,0.61,0.75,0.33,0.46,0.33,0.11,0.67,0.89
18,0.62,0.78,0.34,0.48,0.34,0.1,0.66,0.9
19,0.62,0.78,0.33,0.46,0.33,0.1,0.67,0.9
20,0.62,0.79,0.33,0.46,0.33,0.09,0.67,0.91
21,0.61,0.77,0.31,0.45,0.31,0.1,0.69,0.9
22,0.63,0.82,0.34,0.48,0.34,0.08,0.66,0.92
23,0.62,0.79,0.31,0.45,0.31,0.08,0.69,0.92
24,0.61,0.84,0.28,0.42,0.28,0.05,0.72,0.95
