k, accuracy, error
5,0.855555555556,0.144444444444
6,0.844444444444,0.155555555556
7,0.838888888889,0.161111111111
8,0.85,0.15
9,0.844444444444,0.155555555556
10,0.844444444444,0.155555555556
11,0.877777777778,0.122222222222
12,0.855555555556,0.144444444444
13,0.872222222222,0.127777777778
14,0.872222222222,0.127777777778
15,0.861111111111,0.138888888889
16,0.872222222222,0.127777777778
17,0.872222222222,0.127777777778
18,0.872222222222,0.127777777778
19,0.877777777778,0.122222222222
20,0.872222222222,0.127777777778
21,0.9,0.1
22,0.872222222222,0.127777777778
23,0.883333333333,0.116666666667
24,0.883333333333,0.116666666667
