k, accuracy, error
5,0.655555555556,0.344444444444
6,0.677777777778,0.322222222222
7,0.716666666667,0.283333333333
8,0.688888888889,0.311111111111
9,0.7,0.3
10,0.705555555556,0.294444444444
11,0.694444444444,0.305555555556
12,0.672222222222,0.327777777778
13,0.7,0.3
14,0.688888888889,0.311111111111
15,0.7,0.3
16,0.672222222222,0.327777777778
17,0.672222222222,0.327777777778
18,0.666666666667,0.333333333333
19,0.694444444444,0.305555555556
20,0.661111111111,0.338888888889
21,0.6,0.4
22,0.588888888889,0.411111111111
23,0.622222222222,0.377777777778
24,0.611111111111,0.388888888889
