k, accuracy, error
5,0.611111111111,0.388888888889
6,0.666666666667,0.333333333333
7,0.694444444444,0.305555555556
8,0.672222222222,0.327777777778
9,0.716666666667,0.283333333333
10,0.727777777778,0.272222222222
11,0.694444444444,0.305555555556
12,0.705555555556,0.294444444444
13,0.711111111111,0.288888888889
14,0.694444444444,0.305555555556
15,0.716666666667,0.283333333333
16,0.705555555556,0.294444444444
17,0.694444444444,0.305555555556
18,0.666666666667,0.333333333333
19,0.711111111111,0.288888888889
20,0.727777777778,0.272222222222
21,0.716666666667,0.283333333333
22,0.711111111111,0.288888888889
23,0.694444444444,0.305555555556
24,0.672222222222,0.327777777778
