k, accuracy, error
5,0.85,0.15
6,0.844444444444,0.155555555556
7,0.827777777778,0.172222222222
8,0.811111111111,0.188888888889
9,0.827777777778,0.172222222222
10,0.838888888889,0.161111111111
11,0.888888888889,0.111111111111
12,0.872222222222,0.127777777778
13,0.877777777778,0.122222222222
14,0.877777777778,0.122222222222
15,0.877777777778,0.122222222222
16,0.872222222222,0.127777777778
17,0.872222222222,0.127777777778
18,0.872222222222,0.127777777778
19,0.888888888889,0.111111111111
20,0.883333333333,0.116666666667
21,0.883333333333,0.116666666667
22,0.883333333333,0.116666666667
23,0.872222222222,0.127777777778
24,0.883333333333,0.116666666667
