k, accuracy, error
5,0.838888888889,0.161111111111
6,0.844444444444,0.155555555556
7,0.827777777778,0.172222222222
8,0.811111111111,0.188888888889
9,0.844444444444,0.155555555556
10,0.811111111111,0.188888888889
11,0.844444444444,0.155555555556
12,0.838888888889,0.161111111111
13,0.861111111111,0.138888888889
14,0.844444444444,0.155555555556
15,0.861111111111,0.138888888889
16,0.827777777778,0.172222222222
17,0.844444444444,0.155555555556
18,0.827777777778,0.172222222222
19,0.861111111111,0.138888888889
20,0.872222222222,0.127777777778
21,0.861111111111,0.138888888889
22,0.872222222222,0.127777777778
23,0.872222222222,0.127777777778
24,0.872222222222,0.127777777778
